millisec, event-type, event-code, event-value
17739, 1, 58, 2
17739, 0, 0, 1
17779, 1, 58, 2
17779, 0, 0, 1
17819, 1, 58, 2
17819, 0, 0, 1
17859, 1, 58, 2
17859, 0, 0, 1
17899, 1, 58, 2
17899, 0, 0, 1
17939, 1, 58, 2
17939, 0, 0, 1
17979, 1, 58, 2
17979, 0, 0, 1
18019, 1, 58, 2
18019, 0, 0, 1
18059, 1, 58, 2
18059, 0, 0, 1
18099, 1, 58, 2
18099, 0, 0, 1
18143, 1, 58, 2
18143, 0, 0, 1
18183, 1, 58, 2
18183, 0, 0, 1
18223, 1, 58, 2
18223, 0, 0, 1
18263, 1, 58, 2
18263, 0, 0, 1
18303, 1, 58, 2
18303, 0, 0, 1
18347, 1, 58, 2
18347, 0, 0, 1
18391, 1, 58, 2
18391, 0, 0, 1
18435, 1, 58, 2
18435, 0, 0, 1
18475, 1, 58, 2
18475, 0, 0, 1
18515, 1, 58, 2
18515, 0, 0, 1
18555, 1, 58, 2
18555, 0, 0, 1
18599, 1, 58, 2
18599, 0, 0, 1
18639, 1, 58, 2
18639, 0, 0, 1
18683, 1, 58, 2
18683, 0, 0, 1
18723, 1, 58, 2
18723, 0, 0, 1
18763, 1, 58, 2
18763, 0, 0, 1
18803, 1, 58, 2
18803, 0, 0, 1
18843, 1, 58, 2
18843, 0, 0, 1
18887, 1, 58, 2
18887, 0, 0, 1
18927, 1, 58, 2
18927, 0, 0, 1
18967, 1, 58, 2
18967, 0, 0, 1
19007, 1, 58, 2
19007, 0, 0, 1
19047, 1, 58, 2
19047, 0, 0, 1
19087, 1, 58, 2
19087, 0, 0, 1
19131, 1, 58, 2
19131, 0, 0, 1
19171, 1, 58, 2
19171, 0, 0, 1
19215, 1, 58, 2
19215, 0, 0, 1
19251, 1, 58, 2
19251, 0, 0, 1
19291, 1, 58, 2
19291, 0, 0, 1
19331, 1, 58, 2
19331, 0, 0, 1
19371, 1, 58, 2
19371, 0, 0, 1
19411, 1, 58, 2
19411, 0, 0, 1
19455, 1, 58, 2
19455, 0, 0, 1
19495, 1, 58, 2
19495, 0, 0, 1
19539, 1, 58, 2
19539, 0, 0, 1
19579, 1, 58, 2
19579, 0, 0, 1
19623, 1, 58, 2
19623, 0, 0, 1
19663, 1, 58, 2
19663, 0, 0, 1
19703, 1, 58, 2
19703, 0, 0, 1
19747, 1, 58, 2
19747, 0, 0, 1
19791, 1, 58, 2
19791, 0, 0, 1
19831, 1, 58, 2
19831, 0, 0, 1
19871, 1, 58, 2
19871, 0, 0, 1
19911, 1, 58, 2
19911, 0, 0, 1
19951, 1, 58, 2
19951, 0, 0, 1
19995, 1, 58, 2
19995, 0, 0, 1
20039, 1, 58, 2
20039, 0, 0, 1
20079, 1, 58, 2
20079, 0, 0, 1
20119, 1, 58, 2
20119, 0, 0, 1
20163, 1, 58, 2
20163, 0, 0, 1
20203, 1, 58, 2
20203, 0, 0, 1
20243, 1, 58, 2
20243, 0, 0, 1
20287, 1, 58, 2
20287, 0, 0, 1
20327, 1, 58, 2
20327, 0, 0, 1
20371, 1, 58, 2
20371, 0, 0, 1
20415, 1, 58, 2
20415, 0, 0, 1
20455, 1, 58, 2
20455, 0, 0, 1
20495, 1, 58, 2
20495, 0, 0, 1
20539, 1, 58, 2
20539, 0, 0, 1
20583, 1, 58, 2
20583, 0, 0, 1
20623, 1, 58, 2
20623, 0, 0, 1
20663, 1, 58, 2
20663, 0, 0, 1
20703, 1, 58, 2
20703, 0, 0, 1
20743, 1, 58, 2
20743, 0, 0, 1
20783, 1, 58, 2
20783, 0, 0, 1
20823, 1, 58, 2
20823, 0, 0, 1
20863, 1, 58, 2
20863, 0, 0, 1
20907, 1, 58, 2
20907, 0, 0, 1
20947, 1, 58, 2
20947, 0, 0, 1
20987, 1, 58, 2
20987, 0, 0, 1
21031, 1, 58, 2
21031, 0, 0, 1
21075, 1, 58, 2
21075, 0, 0, 1
21115, 1, 58, 2
21115, 0, 0, 1
21159, 1, 58, 2
21159, 0, 0, 1
21203, 1, 58, 2
21203, 0, 0, 1
21243, 1, 58, 2
21243, 0, 0, 1
21283, 1, 58, 2
21283, 0, 0, 1
21323, 1, 58, 2
21323, 0, 0, 1
21367, 1, 58, 2
21367, 0, 0, 1
21411, 1, 58, 2
21411, 0, 0, 1
21455, 1, 58, 2
21455, 0, 0, 1
21495, 1, 58, 2
21495, 0, 0, 1
21539, 1, 58, 2
21539, 0, 0, 1
21583, 1, 58, 2
21583, 0, 0, 1
21623, 1, 58, 2
21623, 0, 0, 1
21663, 1, 58, 2
21663, 0, 0, 1
21707, 1, 58, 2
21707, 0, 0, 1
21747, 1, 58, 2
21747, 0, 0, 1
21787, 1, 58, 2
21787, 0, 0, 1
21831, 1, 58, 2
21831, 0, 0, 1
21875, 1, 58, 2
21875, 0, 0, 1
21915, 1, 58, 2
21915, 0, 0, 1
21959, 1, 58, 2
21959, 0, 0, 1
21999, 1, 58, 2
21999, 0, 0, 1
22039, 1, 58, 2
22039, 0, 0, 1
22079, 1, 58, 2
22079, 0, 0, 1
22123, 1, 58, 2
22123, 0, 0, 1
22163, 1, 58, 2
