millisec, event-type, event-code, event-value
1635, 2, 0, 1
1635, 0, 0, 0
1636, 2, 0, 2
1636, 2, 1, -1
1636, 0, 0, 0
1637, 2, 0, 1
1637, 0, 0, 0
1638, 2, 0, 1
1638, 0, 0, 0
1639, 2, 0, 1
1639, 0, 0, 0
1640, 2, 0, 2
1640, 0, 0, 0
1641, 2, 0, 1
1641, 0, 0, 0
1642, 2, 0, 1
1642, 2, 1, -1
1642, 0, 0, 0
1643, 2, 0, 1
1643, 0, 0, 0
1644, 2, 0, 1
1644, 0, 0, 0
1645, 2, 0, 1
1645, 0, 0, 0
1646, 2, 0, 1
1646, 2, 1, -1
1646, 0, 0, 0
1647, 2, 0, 1
1647, 0, 0, 0
1648, 2, 0, 1
1648, 0, 0, 0
1649, 2, 0, 1
1649, 0, 0, 0
1650, 2, 0, 1
1650, 0, 0, 0
1651, 2, 0, 1
1651, 2, 1, -1
1651, 0, 0, 0
1652, 2, 0, 1
1652, 0, 0, 0
1654, 2, 0, 1
1654, 0, 0, 0
1655, 2, 0, 1
1655, 0, 0, 0
1656, 2, 0, 1
1656, 2, 1, -1
1656, 0, 0, 0
1658, 2, 0, 1
1658, 0, 0, 0
1660, 2, 0, 1
1660, 2, 1, -1
1660, 0, 0, 0
1663, 2, 0, 1
1663, 0, 0, 0
1665, 2, 0, 1
1665, 0, 0, 0
1668, 2, 0, 1
1668, 2, 1, -1
1668, 0, 0, 0
1672, 2, 0, 1
1672, 0, 0, 0
1676, 2, 1, -1
1676, 0, 0, 0
1677, 2, 0, 1
1677, 0, 0, 0
1691, 2, 0, 1
1691, 0, 0, 0
1717, 2, 0, 1
1717, 0, 0, 0
1722, 2, 0, 1
1722, 0, 0, 0
1726, 2, 0, 1
1726, 0, 0, 0
1730, 2, 0, 1
1730, 0, 0, 0
1739, 2, 0, 1
1739, 0, 0, 0
1742, 2, 1, -1
1742, 0, 0, 0
1797, 2, 0, 1
1797, 0, 0, 0
1800, 2, 0, 1
1800, 0, 0, 0
1801, 2, 0, 1
1801, 0, 0, 0
1803, 2, 0, 1
1803, 0, 0, 0
1804, 2, 0, 1
1804, 0, 0, 0
1805, 2, 0, 1
1805, 0, 0, 0
1806, 2, 0, 1
1806, 0, 0, 0
1807, 2, 0, 1
1807, 0, 0, 0
1808, 2, 0, 1
1808, 0, 0, 0
1809, 2, 0, 1
1809, 0, 0, 0
1810, 2, 0, 1
1810, 0, 0, 0
1811, 2, 0, 1
1811, 0, 0, 0
1812, 2, 0, 1
1812, 0, 0, 0
1813, 2, 0, 2
1813, 0, 0, 0
1815, 2, 0, 2
1815, 0, 0, 0
1816, 2, 0, 2
1816, 0, 0, 0
1817, 2, 0, 1
1817, 0, 0, 0
1818, 2, 0, 2
1818, 0, 0, 0
1819, 2, 0, 1
1819, 0, 0, 0
1820, 2, 0, 2
1820, 0, 0, 0
1821, 2, 0, 1
1821, 0, 0, 0
1822, 2, 0, 1
1822, 0, 0, 0
1823, 2, 0, 2
1823, 0, 0, 0
1824, 2, 0, 1
1824, 0, 0, 0
1825, 2, 0, 1
1825, 0, 0, 0
1826, 2, 0, 2
1826, 0, 0, 0
1827, 2, 0, 1
1827, 0, 0, 0
1828, 2, 0, 2
1828, 0, 0, 0
1829, 2, 0, 1
1829, 0, 0, 0
1830, 2, 0, 2
1830, 0, 0, 0
1831, 2, 0, 1
1831, 0, 0, 0
1832, 2, 0, 2
1832, 0, 0, 0
1833, 2, 0, 1
1833, 0, 0, 0
1834, 2, 0, 1
1834, 0, 0, 0
1835, 2, 0, 2
1835, 0, 0, 0
1836, 2, 0, 1
1836, 0, 0, 0
1837, 2, 0, 2
1837, 0, 0, 0
1838, 2, 0, 1
1838, 0, 0, 0
1839, 2, 0, 2
1839, 0, 0, 0
1840, 2, 0, 1
1840, 0, 0, 0
1841, 2, 0, 1
1841, 0, 0, 0
1842, 2, 0, 2
1842, 0, 0, 0
1843, 2, 0, 1
1843, 0, 0, 0
1844, 2, 0, 1
1844, 0, 0, 0
1845, 2, 0, 2
1845, 0, 0, 0
1846, 2, 0, 1
1846, 0, 0, 0
1847, 2, 0, 1
1847, 0, 0, 0
1848, 2, 0, 1
1848, 0, 0, 0
1849, 2, 0, 1
1849, 0, 0, 0
1850, 2, 0, 1
1850, 0, 0, 0
1851, 2, 0, 1
1851, 0, 0, 0
1852, 2, 0, 1
1852, 0, 0, 0
1853, 2, 0, 1
1853, 0, 0, 0
1855, 2, 0, 1
1855, 0, 0, 0
1856, 2, 0, 1
1856, 0, 0, 0
1858, 2, 0, 1
1858, 0, 0, 0
1860, 2, 0, 1
1860, 0, 0, 0
1863, 2, 0, 1
1863, 0, 0, 0
1867, 2, 0, 1
1867, 0, 0, 0
1870, 2, 0, 1
1870, 0, 0, 0
2123, 4, 4, 589825
2123, 1, 272, 1
2123, 0, 0, 0
2202, 4, 4, 589825
2202, 1, 272, 0
2202, 0, 0, 0
2302, 2, 0, 1
2302, 0, 0, 0
2305, 2, 0, 1
2305, 0, 0, 0
2306, 2, 0, 1
2306, 2, 1, -1
2306, 0, 0, 0
2307, 2, 0, 1
2307, 0, 0, 0
2309, 2, 0, 1
2309, 0, 0, 0
2310, 2, 0, 1
2310, 0, 0, 0
2312, 2, 0, 1
2312, 0, 0, 0
2313, 2, 0, 1
2313, 2, 1, -1
2313, 0, 0, 0
2314, 2, 0, 1
2314, 0, 0, 0
2316, 2, 0, 1
2316, 0, 0, 0
2317, 2, 0, 1
2317, 0, 0, 0
2318, 2, 0, 1
2318, 0, 0, 0
2320, 2, 0, 1
2320, 0, 0, 0
2321, 2, 0, 1
2321, 0, 0, 0
2322, 2, 0, 1
2322, 0, 0, 0
2324, 2, 0, 1
2324, 0, 0, 0
2325, 2, 0, 1
2325, 0, 0, 0
2327, 2, 0, 1
2327, 0, 0, 0
2329, 2, 0, 1
2329, 0, 0, 0
2331, 2, 0, 1
2331, 0, 0, 0
2334, 2, 0, 1
2334, 0, 0, 0
2338, 2, 0, 1
2338, 0, 0, 0
2339, 2, 1, -1
2339, 0, 0, 0
2471, 2, 0, -1
2471, 0, 0, 0
2475, 2, 0, -1
2475, 0, 0, 0
2477, 2, 0, -1
2477, 0, 0, 0
2478, 2, 0, -1
2478, 2, 1, 1
2478, 0, 0, 0
2479, 2, 0, -1
2479, 0, 0, 0
2481, 2, 0, -1
2481, 0, 0, 0
2482, 2, 0, -1
2482, 0, 0, 0
2483, 2, 0, -1
2483, 2, 1, 1
2483, 0, 0, 0
2484, 2, 0, -1
2484, 0, 0, 0
2485, 2, 0, -1
2485, 0, 0, 0
2486, 2, 0, -1
2486, 0, 0, 0
2487, 2, 0, -2
2487, 0, 0, 0
2488, 2, 1, 1
2488, 0, 0, 0
2489, 2, 0, -2
2489, 0, 0, 0
2490, 2, 0, -1
2490, 0, 0, 0
2491, 2, 0, -2
2491, 0, 0, 0
2492, 2, 0, -1
2492, 0, 0, 0
2493, 2, 0, -1
2493, 0, 0, 0
2494, 2, 0, -1
2494, 0, 0, 0
2495, 2, 0, -2
2495, 0, 0, 0
2496, 2, 0, -1
2496, 0, 0, 0
2497, 2, 0, -2
2497, 0, 0, 0
2498, 2, 0, -1
2498, 0, 0, 0
2499, 2, 0, -2
2499, 0, 0, 0
2500, 2, 0, -1
2500, 0, 0, 0
2501, 2, 0, -2
2501, 0, 0, 0
2502, 2, 0, -1
2502, 0, 0, 0
2503, 2, 0, -3
2503, 0, 0, 0
2504, 2, 0, -1
2504, 0, 0, 0
2505, 2, 0, -2
2505, 0, 0, 0
2506, 2, 0, -1
2506, 0, 0, 0
2507, 2, 0, -2
2507, 2, 1, -1
2507, 0, 0, 0
2508, 2, 0, -1
2508, 0, 0, 0
2509, 2, 0, -1
2509, 0, 0, 0
2510, 2, 0, -1
2510, 2, 1, -1
2510, 0, 0, 0
2511, 2, 0, -1
2511, 0, 0, 0
2512, 2, 0, -2
2512, 0, 0, 0
2513, 2, 1, -1
2513, 0, 0, 0
2514, 2, 0, -1
2514, 0, 0, 0
2515, 2, 0, -1
2515, 0, 0, 0
2516, 2, 0, -1
2516, 0, 0, 0
2517, 2, 1, -1
2517, 0, 0, 0
2518, 2, 0, -1
2518, 0, 0, 0
2519, 2, 0, -1
2519, 2, 1, -1
2519, 0, 0, 0
2524, 2, 0, -1
2524, 0, 0, 0
2527, 2, 1, -1
2527, 0, 0, 0
2556, 2, 1, -1
2556, 0, 0, 0
2560, 2, 1, -1
2560, 0, 0, 0
2562, 2, 1, -1
2562, 0, 0, 0
2564, 2, 1, -1
2564, 0, 0, 0
2565, 2, 1, -1
2565, 0, 0, 0
2566, 2, 1, -1
2566, 0, 0, 0
2568, 2, 1, -1
2568, 0, 0, 0
2569, 2, 1, -1
2569, 0, 0, 0
2570, 2, 1, -1
2570, 0, 0, 0
2572, 2, 1, -1
2572, 0, 0, 0
2573, 2, 0, -1
2573, 2, 1, -1
2573, 0, 0, 0
2574, 2, 1, -1
2574, 0, 0, 0
2576, 2, 1, -1
2576, 0, 0, 0
2577, 2, 0, -1
2577, 2, 1, -1
2577, 0, 0, 0
2579, 2, 1, -1
2579, 0, 0, 0
2580, 2, 1, -1
2580, 0, 0, 0
2581, 2, 0, -1
2581, 0, 0, 0
2582, 2, 1, -1
2582, 0, 0, 0
2584, 2, 0, -1
2584, 2, 1, -1
2584, 0, 0, 0
2586, 2, 0, -1
2586, 2, 1, -1
2586, 0, 0, 0
2588, 2, 0, -1
2588, 2, 1, -1
2588, 0, 0, 0
2590, 2, 0, -1
2590, 2, 1, -1
2590, 0, 0, 0
2592, 2, 0, -1
2592, 2, 1, -1
2592, 0, 0, 0
2594, 2, 0, -1
2594, 2, 1, -1
2594, 0, 0, 0
2597, 2, 0, -1
2597, 2, 1, -1
2597, 0, 0, 0
2598, 2, 0, -1
2598, 0, 0, 0
2599, 2, 1, -1
2599, 0, 0, 0
2600, 2, 0, -1
2600, 0, 0, 0
2601, 2, 0, -1
2601, 0, 0, 0
2602, 2, 1, -1
2602, 0, 0, 0
2603, 2, 0, -1
2603, 0, 0, 0
2604, 2, 0, -1
2604, 2, 1, -1
2604, 0, 0, 0
2605, 2, 0, -1
2605, 0, 0, 0
2607, 2, 0, -1
2607, 2, 1, -1
2607, 0, 0, 0
2608, 2, 0, -1
2608, 0, 0, 0
2609, 2, 0, -1
2609, 2, 1, -1
2609, 0, 0, 0
2610, 2, 0, -1
2610, 0, 0, 0
2611, 2, 0, -1
2611, 2, 1, -1
2611, 0, 0, 0
2612, 2, 0, -1
2612, 0, 0, 0
2613, 2, 0, -1
2613, 0, 0, 0
2614, 2, 0, -1
2614, 2, 1, -1
2614, 0, 0, 0
2615, 2, 0, -1
2615, 0, 0, 0
