millisec, event-type, event-code, event-value
6976, 2, 1, -1
6976, 0, 0, 0
6981, 2, 1, -1
6981, 0, 0, 0
6984, 2, 0, 1
6984, 0, 0, 0
7020, 2, 1, -1
7020, 0, 0, 0
7203, 2, 8, -1
7203, 2, 11, -120
7203, 0, 0, 0
7359, 2, 8, -1
7359, 2, 11, -120
7359, 0, 0, 0
7521, 2, 8, -1
7521, 2, 11, -120
7521, 0, 0, 0
7560, 2, 1, 1
7560, 0, 0, 0
7563, 2, 0, -1
7563, 0, 0, 0
7567, 2, 0, -1
7567, 2, 1, 1
7567, 0, 0, 0
7570, 2, 1, 1
7570, 0, 0, 0
7572, 2, 0, -1
7572, 0, 0, 0
7573, 2, 1, 1
7573, 0, 0, 0
7576, 2, 1, 1
7576, 0, 0, 0
7577, 2, 0, -1
7577, 0, 0, 0
7580, 2, 1, 1
7580, 0, 0, 0
7587, 2, 0, -1
7587, 0, 0, 0
7589, 2, 1, 1
7589, 0, 0, 0
7629, 2, 8, -1
7629, 2, 11, -120
7629, 0, 0, 0
7664, 2, 1, 1
7664, 0, 0, 0
7667, 2, 0, -1
7667, 0, 0, 0
7675, 2, 1, 1
7675, 0, 0, 0
7679, 2, 0, -1
7679, 0, 0, 0
7680, 2, 1, 1
7680, 0, 0, 0
7685, 2, 0, -1
7685, 2, 1, 1
7685, 0, 0, 0
7690, 2, 1, 1
7690, 0, 0, 0
7696, 2, 0, -1
7696, 0, 0, 0
7697, 2, 1, 1
7697, 0, 0, 0
7707, 2, 1, 1
7707, 0, 0, 0
7710, 2, 0, -1
7710, 0, 0, 0
7713, 2, 1, 1
7713, 0, 0, 0
7717, 2, 0, -1
7717, 0, 0, 0
7718, 2, 1, 1
7718, 0, 0, 0
7723, 2, 1, 1
7723, 0, 0, 0
7726, 2, 0, -1
7726, 0, 0, 0
7728, 2, 1, 1
7728, 0, 0, 0
7733, 2, 0, -1
7733, 0, 0, 0
7734, 2, 1, 1
7734, 0, 0, 0
7788, 2, 8, -1
7788, 2, 11, -120
7788, 0, 0, 0
10364, 2, 0, 1
10364, 0, 0, 0
10368, 2, 0, 1
10368, 0, 0, 0
10371, 2, 0, 1
10371, 0, 0, 0
10372, 2, 0, 1
10372, 0, 0, 0
10374, 2, 0, 1
10374, 0, 0, 0
10375, 2, 0, 1
10375, 2, 1, 1
10375, 0, 0, 0
10376, 2, 0, 1
10376, 0, 0, 0
10378, 2, 0, 1
10378, 0, 0, 0
10379, 2, 0, 1
10379, 0, 0, 0
10380, 2, 0, 1
10380, 0, 0, 0
10381, 2, 1, 1
10381, 0, 0, 0
10382, 2, 0, 1
10382, 0, 0, 0
10383, 2, 0, 1
10383, 0, 0, 0
10384, 2, 0, 1
10384, 2, 1, 1
10384, 0, 0, 0
10385, 2, 0, 1
10385, 0, 0, 0
10386, 2, 0, 1
10386, 0, 0, 0
10387, 2, 0, 1
10387, 0, 0, 0
10388, 2, 0, 1
10388, 0, 0, 0
10389, 2, 0, 1
10389, 2, 1, 1
10389, 0, 0, 0
10391, 2, 0, 1
10391, 0, 0, 0
10392, 2, 0, 1
10392, 0, 0, 0
10393, 2, 0, 1
10393, 2, 1, 1
10393, 0, 0, 0
10394, 2, 0, 1
10394, 0, 0, 0
10395, 2, 0, 1
10395, 0, 0, 0
10397, 2, 0, 1
10397, 2, 1, 1
10397, 0, 0, 0
10398, 2, 0, 1
10398, 0, 0, 0
10399, 2, 0, 1
10399, 0, 0, 0
10401, 2, 0, 1
10401, 2, 1, 1
10401, 0, 0, 0
10402, 2, 0, 1
10402, 0, 0, 0
10404, 2, 0, 1
10404, 0, 0, 0
10406, 2, 0, 1
10406, 0, 0, 0
