millisec, event-type, event-code, event-value
5409, 0, 0, 0
5417, 2, 0, -22
5417, 2, 1, 6
5417, 0, 0, 0
5425, 2, 0, -25
5425, 2, 1, 6
5425, 0, 0, 0
5433, 2, 0, -27
5433, 2, 1, 5
5433, 0, 0, 0
5441, 2, 0, -28
5441, 2, 1, 4
5441, 0, 0, 0
5449, 2, 0, -27
5449, 2, 1, 3
5449, 0, 0, 0
5457, 2, 0, -27
5457, 2, 1, 6
5457, 0, 0, 0
5465, 2, 0, -28
5465, 2, 1, 9
5465, 0, 0, 0
5473, 2, 0, -28
5473, 2, 1, 9
5473, 0, 0, 0
5481, 2, 0, -27
5481, 2, 1, 9
5481, 0, 0, 0
5489, 2, 0, -27
5489, 2, 1, 9
5489, 0, 0, 0
5497, 2, 0, -29
5497, 2, 1, 10
5497, 0, 0, 0
5505, 2, 0, -30
5505, 2, 1, 9
5505, 0, 0, 0
5513, 2, 0, -32
5513, 2, 1, 9
5513, 0, 0, 0
5521, 2, 0, -35
5521, 2, 1, 10
5521, 0, 0, 0
5529, 2, 0, -35
5529, 2, 1, 10
5529, 0, 0, 0
5537, 2, 0, -35
5537, 2, 1, 10
5537, 0, 0, 0
5545, 2, 0, -36
5545, 2, 1, 10
5545, 0, 0, 0
5553, 2, 0, -34
5553, 2, 1, 10
5553, 0, 0, 0
5561, 2, 0, -29
5561, 2, 1, 10
5561, 0, 0, 0
5569, 2, 0, -28
5569, 2, 1, 9
5569, 0, 0, 0
5577, 2, 0, -29
5577, 2, 1, 9
5577, 0, 0, 0
5585, 2, 0, -27
5585, 2, 1, 9
5585, 0, 0, 0
5593, 2, 0, -25
5593, 2, 1, 10
5593, 0, 0, 0
5601, 2, 0, -23
5601, 2, 1, 13
5601, 0, 0, 0
5609, 2, 0, -21
5609, 2, 1, 13
5609, 0, 0, 0
5617, 2, 0, -20
5617, 2, 1, 11
5617, 0, 0, 0
5625, 2, 0, -20
5625, 2, 1, 12
5625, 0, 0, 0
5633, 2, 0, -18
5633, 2, 1, 12
5633, 0, 0, 0
5641, 2, 0, -16
5641, 2, 1, 9
5641, 0, 0, 0
5649, 2, 0, -15
5649, 2, 1, 9
5649, 0, 0, 0
5657, 2, 0, -13
5657, 2, 1, 9
5657, 0, 0, 0
5665, 2, 0, -10
5665, 2, 1, 6
5665, 0, 0, 0
5673, 2, 0, -7
5673, 2, 1, 3
5673, 0, 0, 0
5681, 2, 0, -4
5681, 2, 1, 1
5681, 0, 0, 0
5721, 2, 1, -1
5721, 0, 0, 0
5745, 2, 0, 1
5745, 0, 0, 0
5753, 2, 0, 1
5753, 2, 1, -1
5753, 0, 0, 0
6393, 2, 1, 1
6393, 0, 0, 0
6401, 2, 0, -1
6401, 0, 0, 0
6409, 2, 1, 1
6409, 0, 0, 0
6417, 4, 4, 589826
6417, 1, 273, 1
6417, 2, 1, 1
6417, 0, 0, 0
6425, 2, 1, 2
6425, 0, 0, 0
6433, 2, 1, 1
6433, 0, 0, 0
6537, 4, 4, 589826
6537, 1, 273, 0
6537, 0, 0, 0
6745, 4, 4, 589826
6745, 1, 273, 1
6745, 0, 0, 0
6921, 4, 4, 589826
6921, 1, 273, 0
6921, 0, 0, 0
7105, 4, 4, 589826
7105, 1, 273, 1
7105, 0, 0, 0
7241, 4, 4, 589826
7241, 1, 273, 0
7241, 0, 0, 0
7449, 4, 4, 589826
7449, 1, 273, 1
7449, 0, 0, 0
7585, 4, 4, 589826
7585, 1, 273, 0
7585, 0, 0, 0
7785, 4, 4, 589826
7785, 1, 273, 1
7785, 0, 0, 0
7865, 2, 0, -1
7865, 0, 0, 0
7929, 4, 4, 589826
7929, 1, 273, 0
7929, 0, 0, 0
7969, 2, 0, -1
7969, 0, 0, 0
7993, 2, 0, -1
7993, 2, 1, -1
7993, 0, 0, 0
