millisec, event-type, event-code, event-value
33055, 0, 0, 1
33095, 1, 31, 2
33095, 0, 0, 1
33135, 1, 31, 2
33135, 0, 0, 1
33143, 4, 4, 458756
33143, 1, 30, 1
33143, 0, 0, 0
33318, 4, 4, 458756
33318, 1, 30, 0
33318, 0, 0, 0
33995, 4, 4, 458756
33995, 1, 30, 1
33995, 0, 0, 0
34010, 4, 4, 458774
34010, 1, 31, 0
34010, 0, 0, 0
34215, 4, 4, 458778
34215, 1, 17, 1
34215, 0, 0, 0
34385, 4, 4, 458756
34385, 1, 30, 0
34385, 0, 0, 0
34546, 4, 4, 458778
34546, 1, 17, 0
34546, 0, 0, 0
34751, 4, 4, 458774
34751, 1, 31, 1
34751, 0, 0, 0
35003, 1, 31, 2
35003, 0, 0, 1
35043, 1, 31, 2
35043, 0, 0, 1
35083, 1, 31, 2
35083, 0, 0, 1
35123, 1, 31, 2
35123, 0, 0, 1
35163, 1, 31, 2
35163, 0, 0, 1
35203, 1, 31, 2
35203, 0, 0, 1
35233, 4, 4, 458756
35233, 1, 30, 1
35233, 0, 0, 0
35393, 4, 4, 458756
35393, 1, 30, 0
35393, 0, 0, 0
35513, 4, 4, 458774
35513, 1, 31, 0
35513, 0, 0, 0
35638, 4, 4, 458778
35638, 1, 17, 1
35638, 0, 0, 0
35891, 1, 17, 2
35891, 0, 0, 1
35931, 1, 17, 2
35931, 0, 0, 1
35971, 1, 17, 2
35971, 0, 0, 1
36011, 1, 17, 2
36011, 0, 0, 1
36051, 1, 17, 2
36051, 0, 0, 1
36091, 1, 17, 2
36091, 0, 0, 1
36131, 1, 17, 2
36131, 0, 0, 1
36171, 1, 17, 2
36171, 0, 0, 1
36211, 1, 17, 2
36211, 0, 0, 1
36251, 1, 17, 2
36251, 0, 0, 1
36291, 1, 17, 2
36291, 0, 0, 1
36305, 4, 4, 458759
36305, 1, 32, 1
36305, 0, 0, 0
36405, 4, 4, 458759
36405, 1, 32, 0
36405, 0, 0, 0
36450, 4, 4, 458778
36450, 1, 17, 0
36450, 0, 0, 0
36485, 4, 4, 458756
36485, 1, 30, 1
36485, 0, 0, 0
36581, 4, 4, 458778
36581, 1, 17, 1
36581, 0, 0, 0
36596, 4, 4, 458756
36596, 1, 30, 0
36596, 0, 0, 0
36686, 4, 4, 458759
36686, 1, 32, 1
36686, 0, 0, 0
36939, 1, 32, 2
36939, 0, 0, 1
36979, 1, 32, 2
36979, 0, 0, 1
37019, 1, 32, 2
37019, 0, 0, 1
37059, 1, 32, 2
37059, 0, 0, 1
37099, 1, 32, 2
37099, 0, 0, 1
37139, 1, 32, 2
37139, 0, 0, 1
37179, 1, 32, 2
37179, 0, 0, 1
37219, 1, 32, 2
37219, 0, 0, 1
37259, 1, 32, 2
37259, 0, 0, 1
37272, 4, 4, 458759
37272, 1, 32, 0
37272, 0, 0, 0
37353, 4, 4, 458759
37353, 1, 32, 1
37353, 0, 0, 0
37438, 4, 4, 458778
37438, 1, 17, 0
37438, 0, 0, 0
37799, 4, 4, 458778
37799, 1, 17, 1
37799, 0, 0, 0
37869, 4, 4, 458759
37869, 1, 32, 0
37869, 0, 0, 0
37919, 4, 4, 458778
37919, 1, 17, 0
37919, 0, 0, 0
